Type,Number,Transaction Date,Last Payment Date,Amt. Paid (USD)
Invoice,19140,06/23/2025,,0.00
Invoice,19069,06/23/2025,,0.00
Invoice,19137,06/23/2025,,0.00
Invoice,19135,06/23/2025,,0.00
Invoice,19133,06/23/2025,,0.00
Invoice,19134,06/20/2025,06/23/2025,6985.00
Invoice,19118,06/20/2025,,0.00
Invoice,19117,06/20/2025,,0.00
Invoice,19116,06/20/2025,06/20/2025,1580.00
Invoice,19141,06/20/2025,,0.00
Invoice,19100,06/19/2025,,0.00
Invoice,19052,06/19/2025,,0.00
Invoice,19085,06/18/2025,06/19/2025,2698.00
Invoice,19086,06/18/2025,06/19/2025,2209.00
Invoice,19084,06/18/2025,,0.00
Invoice,19082,06/18/2025,,0.00
Invoice,19081,06/18/2025,,0.00
Invoice,19078,06/17/2025,,0.00
Invoice,19077,06/17/2025,,0.00
Invoice,19076,06/17/2025,,0.00
Invoice,19074,06/17/2025,,0.00
Invoice,18986,06/17/2025,,0.00
Invoice,19073,06/17/2025,,0.00
Invoice,19071,06/16/2025,06/18/2025,4871.00
Invoice,19070,06/16/2025,,0.00
Invoice,19068,06/16/2025,,0.00
Invoice,19067,06/16/2025,,0.00
Invoice,19066,06/16/2025,,0.00
Invoice,19064,06/16/2025,,0.00
Invoice,19063,06/16/2025,,0.00
Invoice,19080,06/15/2025,,0.00
Invoice,19087,06/14/2025,,0.00
Invoice,19088,06/14/2025,,0.00
Invoice,19089,06/14/2025,,0.00
Invoice,19090,06/14/2025,,0.00
Invoice,19091,06/14/2025,,0.00
Invoice,19092,06/14/2025,,0.00
Invoice,19093,06/14/2025,,0.00
Invoice,19094,06/14/2025,,0.00
Invoice,19095,06/14/2025,,0.00
Invoice,19096,06/14/2025,,0.00
Invoice,19097,06/14/2025,,0.00
Invoice,19098,06/14/2025,,0.00
Invoice,19099,06/14/2025,,0.00
Invoice,19101,06/14/2025,,0.00
Invoice,19102,06/14/2025,,0.00
Invoice,19103,06/14/2025,,0.00
Invoice,19104,06/14/2025,,0.00
Invoice,19105,06/14/2025,,0.00
Invoice,19106,06/14/2025,,0.00
Invoice,19107,06/14/2025,,0.00
Invoice,19108,06/14/2025,,0.00
Invoice,19109,06/14/2025,,0.00
Invoice,19110,06/14/2025,,0.00
Invoice,19111,06/14/2025,,0.00
Invoice,19112,06/14/2025,,0.00
Invoice,19113,06/14/2025,,0.00
Invoice,19114,06/14/2025,,0.00
Invoice,19115,06/14/2025,,0.00
Invoice,19119,06/14/2025,,0.00
Invoice,19120,06/14/2025,,0.00
Invoice,19121,06/14/2025,,0.00
Invoice,19122,06/14/2025,,0.00
Invoice,19123,06/14/2025,,0.00
Invoice,19124,06/14/2025,,0.00
Invoice,19125,06/14/2025,,0.00
Invoice,19126,06/14/2025,,0.00
Invoice,19127,06/14/2025,,0.00
Invoice,19128,06/14/2025,,0.00
Invoice,19132,06/13/2025,,0.00
Invoice,19131,06/13/2025,,0.00
Invoice,19130,06/13/2025,,0.00
Invoice,19129,06/13/2025,,0.00
Invoice,19060,06/13/2025,,0.00
Invoice,19059,06/13/2025,06/16/2025,4766.65
Invoice,19013,06/12/2025,06/12/2025,3259.00
Invoice,19075,06/12/2025,,0.00
Invoice,19079,06/12/2025,,0.00
Invoice,19065,06/12/2025,,0.00
Invoice,19057,06/12/2025,,0.00
Invoice,19048,06/10/2025,06/17/2025,235.00
Invoice,19047,06/10/2025,,0.00
Invoice,19072,06/09/2025,,0.00
Invoice,19017,06/07/2025,06/10/2025,4910.00
Invoice,19018,06/07/2025,06/10/2025,5110.00
Invoice,19019,06/07/2025,06/10/2025,4910.00
Invoice,19020,06/07/2025,06/10/2025,5710.00
Invoice,19021,06/07/2025,06/10/2025,4910.00
Invoice,19022,06/07/2025,06/10/2025,4910.00
Invoice,19023,06/07/2025,06/10/2025,4975.00
Invoice,19024,06/07/2025,06/10/2025,4910.00
Invoice,19025,06/07/2025,06/10/2025,4910.00
Invoice,19026,06/07/2025,06/10/2025,4975.00
Invoice,19027,06/07/2025,06/10/2025,4910.00
Invoice,19028,06/07/2025,06/10/2025,4910.00
Invoice,19029,06/07/2025,06/10/2025,4975.00
Invoice,19030,06/07/2025,06/10/2025,4910.00
Invoice,19031,06/07/2025,06/10/2025,4910.00
Invoice,19032,06/07/2025,06/10/2025,5110.00
Invoice,19033,06/07/2025,06/10/2025,5110.00
Invoice,19034,06/07/2025,06/10/2025,4910.00
Invoice,19035,06/07/2025,06/10/2025,4910.00
Invoice,19036,06/07/2025,06/10/2025,4910.00
Invoice,19037,06/07/2025,06/10/2025,4910.00
Invoice,19038,06/07/2025,06/10/2025,4910.00
Invoice,19039,06/07/2025,06/10/2025,4910.00
Invoice,19040,06/07/2025,06/10/2025,4910.00
Invoice,19041,06/07/2025,06/10/2025,4910.00
Invoice,19042,06/07/2025,06/10/2025,4910.00
Invoice,19043,06/07/2025,06/10/2025,4910.00
Invoice,19044,06/07/2025,06/10/2025,4975.00
Invoice,19045,06/07/2025,06/10/2025,4910.00
Invoice,19008,06/06/2025,,0.00
Invoice,19009,06/06/2025,,0.00
Invoice,19011,06/06/2025,,0.00
Invoice,18990,06/05/2025,,0.00
Invoice,18989,06/05/2025,,0.00
Invoice,18980,06/04/2025,,0.00
Invoice,18949,06/03/2025,,0.00
Invoice,18947,06/03/2025,,0.00
Invoice,18946,06/03/2025,,0.00
Invoice,18939,06/02/2025,06/06/2025,9393.00
Invoice,18941,06/02/2025,06/05/2025,5900.00
Invoice,18937,06/01/2025,06/10/2025,135.00
Invoice,18945,05/31/2025,06/11/2025,7250.00
Invoice,18996,05/31/2025,,0.00
Invoice,19050,05/31/2025,06/13/2025,6842.27
Invoice,19049,05/31/2025,,0.00
Invoice,19016,05/31/2025,06/11/2025,7273.00
Invoice,18983,05/31/2025,06/10/2025,1865.00
Invoice,19014,05/31/2025,06/13/2025,4405.00
Invoice,19056,05/31/2025,,0.00
Invoice,18988,05/31/2025,,0.00
Invoice,18951,05/31/2025,06/10/2025,4910.00
Invoice,18952,05/31/2025,06/10/2025,5110.00
