Month,Bank Cash-inflow,Payments from Invoices,Invoices Paid
2024-01,622820.30,224661.45,42.00
2024-02,646594.26,359841.99,82.00
2024-03,652894.32,791591.47,139.00
2024-04,954242.86,853596.46,184.00
2024-05,1090447.93,862142.43,151.00
2024-06,958661.05,1088753.16,228.00
2024-07,1438315.22,1109700.76,239.00
2024-08,1399337.28,1131460.49,219.00
2024-09,1855113.56,1136734.09,210.00
2024-10,1231327.46,1150678.47,225.00
2024-11,1091648.86,934045.81,196.00
2024-12,1473181.08,1287333.74,225.00
2025-01,1058686.23,1084286.06,219.00
2025-02,1108701.44,983487.45,182.00
2025-03,1329227.54,1215910.32,223.00
2025-04,312301.94,1433729.87,244.00
2025-05,370524.51,1517289.92,300.00
TOTAL,17594025.84,17165243.94,3308.00
