date,description,amount
11/26/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,10375.97
11/26/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,2734.63
11/27/2024,Zelle Payment To Libia Mayor,390.00
12/02/2024,Same-Day ACH Payment 11153689806 To Msc,1579.74
12/02/2024,Online ACH Payment 11153770647 To Dolphinofficelease,4461.62
12/02/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,902.46
12/03/2024,Orig CO Name:Authnet Gateway,10.00
12/03/2024,Online Domestic Wire Transfer Via: Regions/062000019,6250.00
12/06/2024,Zelle Payment To Jesus,40.00
12/06/2024,Online ACH Payment 11154404341 To Dac,2905.00
12/06/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,374.76
12/10/2024,Payment To Chase Card Ending IN 7942,6776.15
12/11/2024,Online ACH Payment 11154889343 To Mydtradingllc,1700.00
12/11/2024,Online Domestic Wire Transfer Via: Bank of America N.A./0959,852.13
12/12/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,32056.96
12/12/2024,Online Domestic Wire Transfer A/C: The Lv Family Irrevocable Trust,4511.86
12/12/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,2213.00
12/12/2024,Payment To Chase Card Ending IN 7942,5317.68
12/16/2024,Payment To Chase Card Ending IN 7942,1315.43
12/16/2024,Online Domestic Wire Transfer Via: Popular Bank/026008811,6036.50
12/17/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,1177.36
12/17/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593,2677.80
12/17/2024,Online Domestic Wire Transfer Via: Popular Bank/026008811,5658.00
12/18/2024,Online Domestic Wire Transfer Via: Popular Bank/026008811,2379.03
12/27/2024,Payment To Chase Card Ending IN 7942,714.93
12/27/2024,Online ACH Payment 11156789443 To Techcargopopular,22189.13
12/01/2023,Online ACH Payment 11115954243 To Kingocean,47300.00
12/04/2023,Orig CO Name:Visa Alberto J Campo,3000.00
12/04/2023,Orig CO Name:Visa Julio A Martinez,1858.42
12/04/2023,Online ACH Payment 11116111984 To Juliomartinezjmy,2949.15
12/04/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,10586.91
12/05/2023,Zelle Payment To Cesar Savinon,2500.00
12/05/2023,Online ACH Payment 11116250573 To Wts,6307.00
12/06/2023,Orig CO Name:Cma-Cgm LLC,2720.00
12/06/2023,Orig CO Name:United Healthcar,5218.72
12/08/2023,Online Domestic Wire Transfer Via: Citibank Nyc/021000089,32585.00
12/18/2023,Orig CO Name:Visa Alberto J Campo,6358.90
12/20/2023,Zelle Payment To Raquel Pujol,600.00
12/21/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,1176.48
12/21/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,566.83
12/22/2023,Zelle Payment To Cesar Savinon,2400.00
12/22/2023,Online Domestic Wire Transfer Via: Bank of America N.A./0959,1299.61
12/22/2023,Online Domestic Wire Transfer Via: Citibank Nyc/021000089,32585.00
12/27/2023,Online ACH Payment 11118308995 To Seaboard,12750.00
12/29/2023,Orig CO Name:Cma-Cgm LLC,2308.00
12/29/2023,Online Domestic Wire Transfer Via: Citibank Nyc/021000089,37240.00
12/29/2023,Online International Wire Transfer A/C: Banca Popolare Dell'Emilia Romagna,3535.47
12/29/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,1462.77
01/03/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240103 CO Entry Descr:Payments Sec:CCD",1134.20
01/04/2024,"Fedwire Credit Via: Amerant Bank, N.A./067010509 B/O: Dimassi, C.A. Venezuela",986.00
01/05/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240105 CO Entry Descr:Sender Sec:CTX",6105.00
01/05/2024,"Orig CO Name:Eurybia Logistic Orig ID:1462767612 Desc Date: CO Entry Descr:Eurybia 01Sec:CCD",500.00
01/09/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: 1/Formbar Limited 3/Gb/Ox11",10346.94
01/09/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240109 CO Entry Descr:Payments Sec:CCD",49.76
01/10/2024,"Orig CO Name:Eurybia Logistic Orig ID:1462767612 Desc Date: CO Entry Descr:ACH Paymensec:CCD",500.00
01/11/2024,"Fedwire Credit Via: Amerant Bank, N.A./067010509 B/O: Dimassi, C.A. Venezuela",2222.30
01/11/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: Sanael LLC Aventura, FL, 33160, US",1740.00
01/12/2024,"Book Transfer Credit B/O: Banco Santander, Sa Boadilla Del Monte Spain 28660 Es",4677.09
01/18/2024,"Chips Credit Via: Wells Fargo Bank, N.A./0509 B/O: Ecomaterials Inc. CA",3548.00
01/19/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240119 CO Entry Descr:Payments Sec:CCD",1849.85
01/22/2024,"Zelle Payment From Medical Instrument Supplier LLC 19647799818",1695.24
01/23/2024,"Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240123 CO Entry Descr:Sender Sec:CTX",10520.74
01/24/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt214282866",1000.00
01/25/2024,"Zelle Payment From Tu Paquetico, Corp. 19669297548",1000.00
01/26/2024,"Real Time Transfer Recd From Aba/021000021 From: Global Orion LLC",12771.00
01/26/2024,"Fedwire Credit Via: First Horizon Bank/084000026 B/O: B M Miami Inc Miami,FL 33178",6992.86
01/26/2024,"Zelle Payment From F Y B Express LLC Bacir8Iikd0J",2000.00
01/26/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt214532280",2000.00
01/30/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240130 CO Entry Descr:Sender Sec:CTX",5750.00
01/30/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt215195119",2400.00
01/31/2024,"Zelle Payment From Vidal Group Export Corp 19726671495",375.00
02/01/2024,"Orig CO Name:Eurybia Logistic Orig ID:1462767612 Desc Date: CO Entry Descr:ACH Paymensec:CCD",250.00
02/02/2024,"Fedwire Credit Via: First Horizon Bank/084000026 B/O: Caribe Cargo S R L LA Esperilla,DR 10106",2770.00
02/06/2024,"Book Transfer Credit B/O: Maduro & Curiel's Bank NV Willemstad Curacao 0000 - Cw",24496.50
02/07/2024,"Fedwire Credit Via: Standard Chartered Bank/026002561 B/O: Inter Andina Jgbl Sac Lima - Peru",5790.00
02/12/2024,"Book Transfer Credit B/O: Distribuidora El Punto LLC North Bay Village FL 33141-4556 US",5109.59
02/12/2024,"Deposit",1700.00
02/15/2024,"Refund of Service Charges For Statement Month May 2023 Crctn: 9027433",5.00
02/16/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: Sanael LLC Dba Central Trading",880.00
02/20/2024,"Fedwire Credit Via: First Horizon Bank/084000026 B/O: B M Miami Inc Miami,FL 33178",9534.76
02/20/2024,"Orig CO Name:Novact Corporati Orig ID:9200502235 Desc Date:240220 CO Entry Descr:ACH Pmt Sec:CCD",1803.23
02/20/2024,"Zelle Payment From Medical Instrument Supplier LLC 19919870291",1642.24
02/21/2024,"Zelle Payment From Tu Paquetico, Corp. 19932495006",500.00
02/22/2024,"Real Time Transfer Recd From Aba/021000021 From: Global Orion LLC",10100.00
02/22/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240222 CO Entry Descr:Sender Sec:CTX",180.00
02/23/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240223 CO Entry Descr:Payments Sec:CCD",4981.96
02/26/2024,"Foreign Remittance Credit B/O: JPMorgan Chase Bank National Columbus OH 43240 US",996.95
02/27/2024,"Zelle Payment From Comercializadora Tracto Laser Miami Bacog3Eeshvu",1124.85
02/29/2024,"Book Transfer Credit B/O: Acc Wholesale LLC Miami FL 33183-1925 US Ref: Invoice 15414",13070.00
02/29/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt220342089",1000.00
03/04/2024,"Zelle Payment From Carlos Pieren Ctiwhbzvxah5",301.76
03/06/2024,"Book Transfer Credit B/O: Acc Wholesale LLC Miami FL 33183-1925 US Ref: Invoice 15483",16800.00
03/06/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240306 CO Entry Descr:Payments Sec:CCD",6718.02
03/06/2024,"Zelle Payment From Gd Group Supply Corp Bachxhb4Vu29",3950.00
03/06/2024,"Zelle Payment From Enver Arbelaez Bacrq4Bpnuk2",2500.00
03/07/2024,"Orig CO Name:Global Orion LLC Orig ID:9024218048 Desc Date:240307 CO Entry Descr:ACH Pmt Sec:CCD",5400.00
03/07/2024,"Zelle Payment From Baruch Dershowitz Ctis51U8Cj5L",310.00
03/08/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240308 CO Entry Descr:Payments Sec:CCD",4363.91
03/11/2024,"Zelle Payment From Comercializadora Tracto Laser Miami Bact8Bqannaf",1340.00
03/11/2024,"Zelle Payment From Enver Arbelaez Bacnwiyuhna2",30.00
03/13/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: Sanael LLC Dba Central Trading",820.00
03/13/2024,"Zelle Payment From Edwin De Jesus Torres Rodriguez 20147402559",1800.00
03/13/2024,"Zelle Payment From Edwin Torres Rodriguez Bbt222680257",1495.45
03/14/2024,"Zelle Payment From Tu Paquetico, Corp Baciyhos1Qdj",800.00
03/18/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt223560661",2400.00
03/19/2024,"Zelle Payment From Sophi Inc Bacm8Lwvygia",8332.81
03/19/2024,"Zelle Payment From Medical Instrument Supplier LLC 20205193788",1642.24
03/21/2024,"Fedwire Credit Via: TD Bank, NA/031101266 B/O: Asstra NY Inc Staten Island, NY 10306-0000",4232.60
03/21/2024,"Orig CO Name:Global Orion LLC Orig ID:9200502235 Desc Date:240321 CO Entry Descr:ACH Pmt Sec:CCD",4850.00
03/21/2024,"Zelle Payment From Gd Group Supply Corp Bacc5Z93Bo3E",1875.00
03/21/2024,"Orig CO Name:Eurybia Logistic Orig ID:1462767612 Desc Date: CO Entry Descr:ACH Paymensec:CCD",750.00
03/22/2024,"Book Transfer Credit B/O: Banco Santander, Sa Boadilla Del Monte Spain 28660 Es",2004.75
