date,description,amount
11/26/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,10375.97
11/26/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,2734.63
11/27/2024,Zelle Payment To Libia Mayor,390.00
12/02/2024,Same-Day ACH Payment 11153689806 To Msc,1579.74
12/02/2024,Online ACH Payment 11153770647 To Dolphinofficelease,4461.62
12/02/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,902.46
12/03/2024,Orig CO Name:Authnet Gateway,10.00
12/03/2024,Online Domestic Wire Transfer Via: Regions/062000019,6250.00
12/06/2024,Zelle Payment To Jesus,40.00
12/06/2024,Online ACH Payment 11154404341 To Dac,2905.00
12/06/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,374.76
12/10/2024,Payment To Chase Card Ending IN 7942,6776.15
12/11/2024,Online ACH Payment 11154889343 To Mydtradingllc,1700.00
12/11/2024,Online Domestic Wire Transfer Via: Bank of America N.A./0959,852.13
12/12/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,32056.96
12/12/2024,Online Domestic Wire Transfer A/C: The Lv Family Irrevocable Trust,4511.86
12/12/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,2213.00
12/12/2024,Payment To Chase Card Ending IN 7942,5317.68
12/16/2024,Payment To Chase Card Ending IN 7942,1315.43
12/16/2024,Online Domestic Wire Transfer Via: Popular Bank/026008811,6036.50
12/17/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct,1177.36
12/17/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593,2677.80
12/17/2024,Online Domestic Wire Transfer Via: Popular Bank/026008811,5658.00
12/18/2024,Online Domestic Wire Transfer Via: Popular Bank/026008811,2379.03
12/27/2024,Payment To Chase Card Ending IN 7942,714.93
12/27/2024,Online ACH Payment 11156789443 To Techcargopopular,22189.13
12/01/2023,Online ACH Payment 11115954243 To Kingocean,47300.00
12/04/2023,Orig CO Name:Visa Alberto J Campo,3000.00
12/04/2023,Orig CO Name:Visa Julio A Martinez,1858.42
12/04/2023,Online ACH Payment 11116111984 To Juliomartinezjmy,2949.15
12/04/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,10586.91
12/05/2023,Zelle Payment To Cesar Savinon,2500.00
12/05/2023,Online ACH Payment 11116250573 To Wts,6307.00
12/06/2023,Orig CO Name:Cma-Cgm LLC,2720.00
12/06/2023,Orig CO Name:United Healthcar,5218.72
12/08/2023,Online Domestic Wire Transfer Via: Citibank Nyc/021000089,32585.00
12/18/2023,Orig CO Name:Visa Alberto J Campo,6358.90
12/20/2023,Zelle Payment To Raquel Pujol,600.00
12/21/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,1176.48
12/21/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,566.83
12/22/2023,Zelle Payment To Cesar Savinon,2400.00
12/22/2023,Online Domestic Wire Transfer Via: Bank of America N.A./0959,1299.61
12/22/2023,Online Domestic Wire Transfer Via: Citibank Nyc/021000089,32585.00
12/27/2023,Online ACH Payment 11118308995 To Seaboard,12750.00
12/29/2023,Orig CO Name:Cma-Cgm LLC,2308.00
12/29/2023,Online Domestic Wire Transfer Via: Citibank Nyc/021000089,37240.00
12/29/2023,Online International Wire Transfer A/C: Banca Popolare Dell'Emilia Romagna,3535.47
12/29/2023,Online International Wire Transfer A/C: Foreign Cur Bus Acct,1462.77
01/03/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240103 CO Entry Descr:Payments Sec:CCD",1134.20
01/04/2024,"Fedwire Credit Via: Amerant Bank, N.A./067010509 B/O: Dimassi, C.A. Venezuela",986.00
01/05/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240105 CO Entry Descr:Sender Sec:CTX",6105.00
01/05/2024,"Orig CO Name:Eurybia Logistic Orig ID:1462767612 Desc Date: CO Entry Descr:Eurybia 01Sec:CCD",500.00
01/09/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: 1/Formbar Limited 3/Gb/Ox11",10346.94
01/09/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240109 CO Entry Descr:Payments Sec:CCD",49.76
01/10/2024,"Orig CO Name:Eurybia Logistic Orig ID:1462767612 Desc Date: CO Entry Descr:ACH Paymensec:CCD",500.00
01/11/2024,"Fedwire Credit Via: Amerant Bank, N.A./067010509 B/O: Dimassi, C.A. Venezuela",2222.30
01/11/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: Sanael LLC Aventura, FL, 33160, US",1740.00
01/12/2024,"Book Transfer Credit B/O: Banco Santander, Sa Boadilla Del Monte Spain 28660 Es",4677.09
01/18/2024,"Chips Credit Via: Wells Fargo Bank, N.A./0509 B/O: Ecomaterials Inc. CA",3548.00
01/19/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240119 CO Entry Descr:Payments Sec:CCD",1849.85
01/22/2024,"Zelle Payment From Medical Instrument Supplier LLC 19647799818",1695.24
01/23/2024,"Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240123 CO Entry Descr:Sender Sec:CTX",10520.74
01/24/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt214282866",1000.00
01/25/2024,"Zelle Payment From Tu Paquetico, Corp. 19669297548",1000.00
01/26/2024,"Real Time Transfer Recd From Aba/021000021 From: Global Orion LLC",12771.00
01/26/2024,"Fedwire Credit Via: First Horizon Bank/084000026 B/O: B M Miami Inc Miami,FL 33178",6992.86
01/26/2024,"Zelle Payment From F Y B Express LLC Bacir8Iikd0J",2000.00
01/26/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt214532280",2000.00
01/30/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240130 CO Entry Descr:Sender Sec:CTX",5750.00
01/30/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt215195119",2400.00
01/31/2024,"Zelle Payment From Vidal Group Export Corp 19726671495",375.00
02/01/2024,"Online ACH Payment 11121667903 To Msc (_#####1139)",7195.00
02/01/2024,"Online ACH Payment 11121678526 To Dolphinofficelease (_######6156)",8874.28
02/01/2024,"Zelle Payment To Tania Delgado Jpm99A8T6Ebu",1173.51
02/05/2024,"Online ACH Payment 11121877401 To Atmalbertocampo (_######4054)",12055.48
02/05/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",7678.13
02/05/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",691.60
02/05/2024,"Orig CO Name:United Healthcar Orig ID:1411289245 Desc Date: CO Entry Descr:EDI Paymtssec:CTX",5218.72
02/06/2024,"Zelle Payment To Iol Group Inc Jpm99A92Vn0L",450.00
02/07/2024,"Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services",23025.00
02/08/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",3000.00
02/09/2024,"Zelle Payment To Jose Jpm99A97Ftxt",300.00
02/09/2024,"Online ACH Payment 11122424452 To Dhlglobalforwarding (_######4416)",1606.00
02/09/2024,"Online Domestic Wire Transfer Via: Hsbc USA/021001088 A/C: Cma Cgm Anl Securities",978.32
02/15/2024,"Online ACH Payment 11122943692 To Seaboard (_####3911)",6500.00
02/15/2024,"Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr",4173.51
02/21/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",5617.92
02/26/2024,"Zelle Payment To Rush Enterprises LLC Jpm99Aa4Scsy",35.25
02/26/2024,"Zelle Payment To Cas Media Pro , Inc Jpm99Aa4Sted",300.00
02/27/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",8750.00
02/27/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",5040.00
02/28/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",823.59
02/28/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",576.80
date,description,amount
03/01/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",3500.00
03/04/2024,"Zelle Payment To Jesus Jpm99Aaewj63",550.00
03/04/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",651.65
03/06/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",5000.00
03/07/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",8400.00
03/11/2024,"Zelle Payment To Alfonso 20107202413",200.00
03/11/2024,"Online ACH Payment 11125334044 To Alonsoforwardingusa (_#####2593)",45.00
03/13/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",5000.00
03/14/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",1749.27
03/14/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",6098.00
03/15/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",16800.00
03/15/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",14517.52
03/18/2024,"Online International Wire Transfer A/C: Abn Amro Bank N V Head Office Amsterdam",1800.00
03/19/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",5000.00
03/19/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",188.62
03/20/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",8400.00
03/22/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",15939.58
03/22/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",7922.79
