Date,Description,Additions,Subtractions
12/01/2023,"Deposit 000007181214160",33795.00,
12/01/2023,"Deposit Return Item SEQ# 99000011 NSF CHK# 183 000001201140226",,5750.00
12/01/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231130 BATCH 5403959 081000601738278",,953.50
12/01/2023,"Preauthorized Wd TECH CARGO LLC ACH 231201 001343390000001",,2455.50
12/04/2023,"Preauthorized Credit SPACE PLUS USA L SENDER 231204 687460262 113000025629633",10384.38,
12/04/2023,"Deposit 000007181244360",9150.00,
12/04/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231201 BATCH 5410792 081000603154808",,336.50
12/04/2023,"Preauthorized Wd INTEGRITYLOGISTI WEBPAYMENT 231204 042000019210051",,1797.68
12/04/2023,"Preauthorized Wd MERCHANT BNKCD DISCOUNT 231203 938206002884 026008818802142",,39.95
12/05/2023,"Deposit 000007181291330",31911.75,
12/05/2023,"Preauthorized Wd NEW HORIZONS com NEWHORIZON 231205 104000010219469",,200.41
12/05/2023,"Preauthorized Wd MERCHANT BNKCD DISCOUNT 231205 938206002884 026008817448266",,118.90
12/05/2023,"Preauthorized Wd TECH CARGO LLC ACH 231205 001718300000046",,12225.00
12/05/2023,"Check 2217 000007055256220",,90.00
12/05/2023,"Check 2218 000007055252180",,2210.00
12/06/2023,"Preauthorized Wd MAERSK A/S 4440001248 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000026043880",,4600.00
12/06/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231205 BATCH 5416882 081000605944869",,453.50
12/06/2023,"Check 2219 000007055386860",,13585.00
12/07/2023,"Preauthorized Wd MAGAYA ACH 7868459150 231207 3400000440 026073186273219",,45.00
12/07/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231206 BATCH 5421129 081000607040607",,188.50
12/07/2023,"Preauthorized Wd MAGAYA ACH 7868459150 231207 3400000647 026073186272881",,1931.16
12/08/2023,"Deposit 000007181350670",4510.00,
12/08/2023,"Deposit 000007181352970",6050.00,
12/08/2023,"Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000381",28825.00,
12/08/2023,"Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000437",29122.25,
12/08/2023,"Preauthorized Wd AMWINS GRP BEN INS PREMIU 231208 091000017857473",,822.69
12/08/2023,"Online Intl Wire SAFROUND LOGISTICS SAFROUND LOGISTICS (HK) CO LIMITED 000000000000440",,2200.00
12/08/2023,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,201.18
12/11/2023,"Preauthorized Credit INTERLINK MARKET PAYMENT 231211 1190492 043000094670711",5502.33,
