date,description,amount
12/01/2023,Deposit 000007181214160,33795.00
12/04/2023,Preauthorized Credit SPACE PLUS USA L SENDER 231204 687460262 113000025629633,10384.38
12/04/2023,Deposit 000007181244360,9150.00
12/05/2023,Deposit 000007181291330,31911.75
12/08/2023,Deposit 000007181350670,4510.00
12/08/2023,Deposit 000007181352970,6050.00
12/08/2023,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000381,28825.00
12/08/2023,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000437,29122.25
12/11/2023,Preauthorized Credit INTERLINK MARKET PAYMENT 231211 1190492 043000094670711,5502.33
12/11/2023,Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000044,2203.00
12/12/2023,Deposit 000007181426210,15109.00
12/13/2023,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14682-14683-1 4684-14691-14692-1 4733-14737-14749 021000020973059,52287.00
12/15/2023,Preauthorized Credit SPACE PLUS USA L SENDER 231215 689805982 113000026407862,5399.23
12/15/2023,Deposit 000007181486250,92215.25
12/18/2023,Wire Transfer-in IBDA ALQASR COBUYI IBDA ALQASR CO 000000000000071,2628.00
12/19/2023,Preauthorized Credit PAYCARGO ACHPAYMENT 231218 BATCH 5454579 081000607079365,142.48
12/21/2023,Preauthorized Credit PAYCARGO ACHPAYMENT 231220 BATCH 5463478 081000609341583,2000.50
12/21/2023,Deposit 000007181581260,70830.00
12/22/2023,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000086,9094.24
12/28/2023,Deposit 000007181661570,35840.62
12/29/2023,Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000009,5525.00
01/02/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14750-14784-1 4786-14790-14792-1 4795-14844 021000029235218,72318.11
01/02/2024,Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000060,17976.94
01/03/2024,Deposit 000007181731820,1377.57
01/03/2024,Wire Transfer-in 1/EASY FREIGHT C A 1/EASY FREIGHT C A 000000000000013,10847.80
01/04/2024,Deposit 000007181760450,69419.82
01/05/2024,Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000203,825.00
01/08/2024,Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000286,903.00
01/10/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 240109 BATCH 5517982 081000605374505,3870.50
01/10/2024,Deposit 000007181872670,40825.94
01/12/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 240111 BATCH 5527888 081000607836871,1757.50
