date,description,amount
01/04/2024,Fedwire Credit Via: Amerant Bank N.A./ B/O: Dimassi C.A. Venezuela Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL US/Ac- Rf B=O/B Amerant Bank Obi=Pago De Fact Uras Pago Invoice Imad: MmqfmpG Trn: Ff,986.0
01/11/2024,Fedwire Credit Via: Amerant Bank N.A./ B/O: Dimassi C.A. Venezuela Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL US/Ac- Rf B=O/B Amerant Bank Obi=Pago De Fact Uras Pago Invoice Imad: MmqfmpG *end*deposits and additions Trn: Ff Page of December throu,792330778.0
01/12/2024,Book Transfer Credit B/O: Banco Santander Sa Boadilla Del Monte Spain Es Org:/Es Consignaciones Transitos Y Transpor Ogb: Banco Santander Sa Ciudad Grupo Santander Ref: As Email/Chgs/USD/Chgs/USD/Ocmt/USD/ Trn: Fs,4677.09
01/18/2024,Chips Credit Via: Wells Fargo Bank N.A./ B/O: Ecomaterials Inc. CA Ref: Nbnf=Tech Cargo LLC Doral FL US/Ac- Org=/ CA Ogb=Canadian Imperial Bank of Commerce Toronto On Canada ME -G CA Obi=Inv/Roc/ Fee Ded Ucted Bbi=/Chgs/USD/Chgs/USD/Ocmt/USD/ Ssn: Tr,3548.0
01/22/2024,Zelle Payment From Medical Instrument Supplier LLC,1695.24
01/24/2024,Zelle Payment From Global Cargo And Travel LLC Bbt,1000.0
01/25/2024,Zelle Payment From Tu Paquetico Corp.,1000.0
01/26/2024,Real Time Transfer Recd From Aba/ From: Global Orion LLC Ref: Smb- Info: Iid: PBrjpm Recd: :: Trn: Rx,12771.0
01/26/2024,Fedwire Credit Via: First Horizon Bank/ B/O: B M Miami Inc MiamiFL Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL US/Ac- Rf B=Business Wire Tr Obi= Imad: Mmqfmpwq Trn: Ff,6992.86
01/26/2024,Zelle Payment From F Y B Express LLC BacirIikdJ,2000.0
01/26/2024,Zelle Payment From Global Cargo And Travel LLC Bbt,2000.0
01/30/2024,Zelle Payment From Global Cargo And Travel LLC Bbt,2400.0
01/31/2024,Zelle Payment From Vidal Group Export Corp,375.0
01/04/2024,Fedwire Credit Via: Amerant Bank N.A./ B/O: Dimassi C.A. Venezuela Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL US/Ac- Rf B=O/B Amerant Bank Obi=Pago De Fact Uras Pago Invoice Imad: MmqfmpG Trn: Ff,986.0
01/11/2024,Fedwire Credit Via: Amerant Bank N.A./ B/O: Dimassi C.A. Venezuela Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL US/Ac- Rf B=O/B Amerant Bank Obi=Pago De Fact Uras Pago Invoice Imad: MmqfmpG *end*deposits and additions Trn: Ff Page of December throu,792330778.0
01/12/2024,Book Transfer Credit B/O: Banco Santander Sa Boadilla Del Monte Spain Es Org:/Es Consignaciones Transitos Y Transpor Ogb: Banco Santander Sa Ciudad Grupo Santander Ref: As Email/Chgs/USD/Chgs/USD/Ocmt/USD/ Trn: Fs,4677.09
01/18/2024,Chips Credit Via: Wells Fargo Bank N.A./ B/O: Ecomaterials Inc. CA Ref: Nbnf=Tech Cargo LLC Doral FL US/Ac- Org=/ CA Ogb=Canadian Imperial Bank of Commerce Toronto On Canada ME -G CA Obi=Inv/Roc/ Fee Ded Ucted Bbi=/Chgs/USD/Chgs/USD/Ocmt/USD/ Ssn: Tr,3548.0
01/22/2024,Zelle Payment From Medical Instrument Supplier LLC,1695.24
01/24/2024,Zelle Payment From Global Cargo And Travel LLC Bbt,1000.0
01/25/2024,Zelle Payment From Tu Paquetico Corp.,1000.0
01/26/2024,Real Time Transfer Recd From Aba/ From: Global Orion LLC Ref: Smb- Info: Iid: PBrjpm Recd: :: Trn: Rx,12771.0
01/26/2024,Fedwire Credit Via: First Horizon Bank/ B/O: B M Miami Inc MiamiFL Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL US/Ac- Rf B=Business Wire Tr Obi= Imad: Mmqfmpwq Trn: Ff,6992.86
01/26/2024,Zelle Payment From F Y B Express LLC BacirIikdJ,2000.0
01/26/2024,Zelle Payment From Global Cargo And Travel LLC Bbt,2000.0
01/30/2024,Zelle Payment From Global Cargo And Travel LLC Bbt,2400.0
01/31/2024,Zelle Payment From Vidal Group Export Corp,375.0
