date,description,amount
01/02/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/Es Tech Cargo Logistics Sl Ref: Universal Products Payment Invoice Payment/Ocmt/Eur/Exch/ /Cntr//Acc/Universal Produ Cts Payment Trn: Re,12000.0
01/04/2024,Zelle Payment To Alfonso,200.0
01/04/2024,Zelle Payment To Rush Enterprises LLC JpmAIHxp,63.34
01/05/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/De Air Cargo Professionals Gmbh Ref: Invoices Invoice Payment/Ocmt/Eur/Exch//Cntr//Acc/Invoices Trn: Re,19174.5
01/11/2024,/ Online ACH Payment To Seaboard (_####) *end*electronic withdrawal / Zelle Payment To Cesar Savinon JpmATil Page of December throughJanuary Account Number: *start*electronic withdrawal (continued) ELECTRONIC WITHDRAWALS DATE DESCRIPTION AMOUNT,792330778.0
01/12/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/Hu United Shipping Ref: Inv / Invoice Payment/Ocmt/Eur/Exch//Cntr//Acc/Inv / Trn: Re,3676.97
01/29/2024,Zelle Payment To Erick Chacin JpmANT,675.0
01/30/2024,Zelle Payment To Alfonso,200.0
01/30/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/Es Carolina De LA Torre Morera Ref: Invoice Payment/Ocmt/Eur/Exch//Cntr//Acc/Jan Trn: Re,824.05
01/02/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/Es Tech Cargo Logistics Sl Ref: Universal Products Payment Invoice Payment/Ocmt/Eur/Exch/ /Cntr//Acc/Universal Produ Cts Payment Trn: Re,12000.0
01/04/2024,Zelle Payment To Alfonso,200.0
01/04/2024,Zelle Payment To Rush Enterprises LLC JpmAIHxp,63.34
01/05/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/De Air Cargo Professionals Gmbh Ref: Invoices Invoice Payment/Ocmt/Eur/Exch//Cntr//Acc/Invoices Trn: Re,19174.5
01/11/2024,/ Online ACH Payment To Seaboard (_####) *end*electronic withdrawal / Zelle Payment To Cesar Savinon JpmATil Page of December throughJanuary Account Number: *start*electronic withdrawal (continued) ELECTRONIC WITHDRAWALS DATE DESCRIPTION AMOUNT,792330778.0
01/12/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/Hu United Shipping Ref: Inv / Invoice Payment/Ocmt/Eur/Exch//Cntr//Acc/Inv / Trn: Re,3676.97
01/29/2024,Zelle Payment To Erick Chacin JpmANT,675.0
01/30/2024,Zelle Payment To Alfonso,200.0
01/30/2024,/ Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk Columbus Newark De US Org: Tech Cargo LLC Ben:/Es Carolina De LA Torre Morera Ref: Invoice Payment/Ocmt/Eur/Exch//Cntr//Acc/Jan Trn: Re,824.05
