date,description,amount,type
01/22/2024,Zelle Payment From Medical Instrument Supplier LLC 19647799818,"1,695.24",debit
01/22/2024,Zelle Payment From Medical Instrument Supplier LLC 19647799818,"1,695.24",debit
01/22/2024,Zelle Payment From Medical Instrument Supplier LLC 19647799818,"1,695.24",debit
01/22/2024,Zelle Payment From Medical Instrument Supplier LLC 19647799818,"1,695.24",debit
01/24/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214282866,"1,000.00",debit
01/24/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214282866,"1,000.00",debit
01/24/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214282866,"1,000.00",debit
01/24/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214282866,"1,000.00",debit
01/25/2024,"Zelle Payment From Tu Paquetico, Corp. 19669297548","1,000.00",debit
01/25/2024,"Zelle Payment From Tu Paquetico, Corp. 19669297548","1,000.00",debit
01/25/2024,"Zelle Payment From Tu Paquetico, Corp. 19669297548","1,000.00",debit
01/25/2024,"Zelle Payment From Tu Paquetico, Corp. 19669297548","1,000.00",debit
01/26/2024,Zelle Payment From F Y B Express LLC Bacir8Iikd0J,"2,000.00",debit
01/26/2024,Zelle Payment From F Y B Express LLC Bacir8Iikd0J,"2,000.00",debit
01/26/2024,Zelle Payment From F Y B Express LLC Bacir8Iikd0J,"2,000.00",debit
01/26/2024,Zelle Payment From F Y B Express LLC Bacir8Iikd0J,"2,000.00",debit
01/26/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214532280,"2,000.00",debit
01/26/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214532280,"2,000.00",debit
01/26/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214532280,"2,000.00",debit
01/26/2024,Zelle Payment From Global Cargo And Travel LLC Bbt214532280,"2,000.00",debit
01/30/2024,Zelle Payment From Global Cargo And Travel LLC Bbt215195119,"2,400.00",debit
01/30/2024,Zelle Payment From Global Cargo And Travel LLC Bbt215195119,"2,400.00",debit
01/30/2024,Zelle Payment From Global Cargo And Travel LLC Bbt215195119,"2,400.00",debit
01/30/2024,Zelle Payment From Global Cargo And Travel LLC Bbt215195119,"2,400.00",debit
01/31/2024,Zelle Payment From Vidal Group Export Corp 19726671495,375.00,debit
01/31/2024,Zelle Payment From Vidal Group Export Corp 19726671495,375.00,debit
01/31/2024,Zelle Payment From Vidal Group Export Corp 19726671495,375.00,debit
01/31/2024,Zelle Payment From Vidal Group Export Corp 19726671495,375.00,debit
01/02/2024,01/02 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"12,000.00",debit
01/02/2024,01/02 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"12,000.00",debit
01/04/2024,Zelle Payment To Alfonso 19486155598,200.00,debit
01/04/2024,Zelle Payment To Alfonso 19486155598,200.00,debit
01/04/2024,Zelle Payment To Alfonso 19486155598,200.00,debit
01/04/2024,Zelle Payment To Alfonso 19486155598,200.00,debit
01/04/2024,Zelle Payment To Rush Enterprises LLC Jpm99A7I4Hxp,63.34,debit
01/04/2024,Zelle Payment To Rush Enterprises LLC Jpm99A7I4Hxp,63.34,debit
01/04/2024,Zelle Payment To Rush Enterprises LLC Jpm99A7I4Hxp,63.34,debit
01/04/2024,Zelle Payment To Rush Enterprises LLC Jpm99A7I4Hxp,63.34,debit
01/05/2024,01/05 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"19,174.50",debit
01/05/2024,01/05 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"19,174.50",debit
01/05/2024,01/05 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"19,174.50",debit
01/05/2024,01/05 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"19,174.50",debit
01/11/2024,01/11 Online ACH Payment 11119767504 To Seaboard (_####3911),"6,500.00",debit
01/11/2024,01/11 Online ACH Payment 11119767504 To Seaboard (_####3911),"6,500.00",debit
01/11/2024,01/11 Online ACH Payment 11119767504 To Seaboard (_####3911),"6,500.00",debit
01/11/2024,01/11 Online ACH Payment 11119767504 To Seaboard (_####3911),"6,500.00",debit
01/12/2024,01/12 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"3,676.97",debit
01/12/2024,01/12 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"3,676.97",debit
01/12/2024,01/12 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"3,676.97",debit
01/12/2024,01/12 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,"3,676.97",debit
01/18/2024,"01/18 Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr","6,742.99",debit
01/18/2024,"01/18 Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr","6,742.99",debit
01/18/2024,"01/18 Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr","6,742.99",debit
01/18/2024,"01/18 Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr","6,742.99",debit
01/29/2024,Zelle Payment To Erick Chacin Jpm99A8N304T,675.00,debit
01/29/2024,Zelle Payment To Erick Chacin Jpm99A8N304T,675.00,debit
01/29/2024,Zelle Payment To Erick Chacin Jpm99A8N304T,675.00,debit
01/29/2024,Zelle Payment To Erick Chacin Jpm99A8N304T,675.00,debit
01/30/2024,Zelle Payment To Alfonso 19716869679,200.00,debit
01/30/2024,Zelle Payment To Alfonso 19716869679,200.00,debit
